prop, 1, 1, 3
data, 1, 3, 1, 1, 0, 0
data, 1, 2.5, 1, 0, 1, 0
data, 1, 2, 1, 0, 0, 1
data, 1, 1.5, 1, 0, 1, 1
data, 1, 1, 1, 0, 1, 1
data, 1.5, 1, 1, 0, 1, 1
data, 2, 1, 1, 0, 1, 1
data, 4, 3, 2, 0, 1, 1
data, 3.5, 3, 2, 0, 1, 1
data, 3, 3, 2, 0, 1, 1
data, 3, 2.5, 2, 0, 1, 1
data, 3, 2, 2, 0, 1, 1
data, 3.5, 2, 2, 0, 1, 1
data, 3, 1.5, 2, 0, 1, 1
data, 3, 1, 2, 0, 1, 1
data, 3.5, 1, 2, 0, 1, 1
data, 4, 1, 2, 0, 1, 1
data, 5, 3, 3, 0, 1, 1
data, 5, 2.5, 3, 0, 1, 1
data, 5, 2, 3, 0, 1, 1
data, 5, 1.5, 3, 0, 1, 1
data, 5, 1, 3, 0, 1, 1
data, 5.5, 1, 3, 0, 1, 1
data, 6, 1, 3, 0, 1, 1
